PROVINCE,SECTOR,YEAR_MONTH,YEAR,TRADE_PARTNER,EXPORT,IMPORT,NET_TRADE
Alberta,Aircraft and other transportation equipment and parts,2018-11-01,2018,United States,28427000.0,336225000.0,-307798000.0
Alberta,Aircraft and other transportation equipment and parts,2018-12-01,2018,United States,40534000.0,47744000.0,-7210000.0
Alberta,Aircraft and other transportation equipment and parts,2019-01-01,2019,United States,22674000.0,562321000.0,-539647000.0
Alberta,Aircraft and other transportation equipment and parts,2019-02-01,2019,United States,29878000.0,112714000.0,-82836000.0
Alberta,Aircraft and other transportation equipment and parts,2019-03-01,2019,United States,44065000.0,86392000.0,-42327000.0
Alberta,Aircraft and other transportation equipment and parts,2019-04-01,2019,United States,20045000.0,82424000.0,-62379000.0
Alberta,Aircraft and other transportation equipment and parts,2019-05-01,2019,United States,33728000.0,63220000.0,-29492000.0
Alberta,Aircraft and other transportation equipment and parts,2019-06-01,2019,United States,37438000.0,25794000.0,11644000.0
Alberta,Aircraft and other transportation equipment and parts,2019-07-01,2019,United States,20580000.0,27207000.0,-6627000.0
Alberta,Aircraft and other transportation equipment and parts,2019-08-01,2019,United States,28605000.0,110881000.0,-82276000.0
Alberta,Aircraft and other transportation equipment and parts,2019-09-01,2019,United States,27466000.0,83526000.0,-56060000.0
Alberta,Aircraft and other transportation equipment and parts,2019-10-01,2019,United States,30590000.0,19140000.0,11450000.0
Alberta,Aircraft and other transportation equipment and parts,2019-11-01,2019,United States,29079000.0,21648000.0,7431000.0
Alberta,Aircraft and other transportation equipment and parts,2019-12-01,2019,United States,28190000.0,25874000.0,2316000.0
Alberta,Aircraft and other transportation equipment and parts,2020-01-01,2020,United States,41595000.0,24356000.0,17239000.0
Alberta,Aircraft and other transportation equipment and parts,2020-02-01,2020,United States,32904000.0,34607000.0,-1703000.0
Alberta,Aircraft and other transportation equipment and parts,2020-03-01,2020,United States,39195000.0,24280000.0,14915000.0
Alberta,Aircraft and other transportation equipment and parts,2020-04-01,2020,United States,17204000.0,23557000.0,-6353000.0
Alberta,Aircraft and other transportation equipment and parts,2020-05-01,2020,United States,24758000.0,11272000.0,13486000.0
Alberta,Aircraft and other transportation equipment and parts,2020-06-01,2020,United States,20880000.0,39848000.0,-18968000.0
Alberta,Aircraft and other transportation equipment and parts,2020-07-01,2020,United States,36221000.0,28158000.0,8063000.0
Alberta,Aircraft and other transportation equipment and parts,2020-08-01,2020,United States,31613000.0,13585000.0,18028000.0
Alberta,Aircraft and other transportation equipment and parts,2020-09-01,2020,United States,39935000.0,27430000.0,12505000.0
Alberta,Aircraft and other transportation equipment and parts,2020-10-01,2020,United States,36601000.0,29451000.0,7150000.0
Alberta,Aircraft and other transportation equipment and parts,2020-11-01,2020,United States,22527000.0,33180000.0,-10653000.0
Alberta,Aircraft and other transportation equipment and parts,2020-12-01,2020,United States,31703000.0,44520000.0,-12817000.0
Alberta,Aircraft and other transportation equipment and parts,2021-01-01,2021,United States,33885000.0,20817000.0,13068000.0
Alberta,Aircraft and other transportation equipment and parts,2021-02-01,2021,United States,18615000.0,16433000.0,2182000.0
Alberta,Aircraft and other transportation equipment and parts,2021-03-01,2021,United States,45785000.0,50878000.0,-5093000.0
Alberta,Aircraft and other transportation equipment and parts,2021-04-01,2021,United States,25372000.0,45598000.0,-20226000.0
