TRADE_PARTNER,YEAR_MONTH,YEAR,PROVINCE,SECTOR,EXPORT,IMPORT,NET_TRADE
United States,2014-01-01,2014,Newfoundland and Labrador,Special transactions trade,2906000.0,273000.0,2633000.0
United States,2014-01-01,2014,Northwest Territories,Aircraft and transportation,0.0,0.0,0.0
United States,2014-01-01,2014,Northwest Territories,Basic products,0.0,0.0,0.0
United States,2014-01-01,2014,Northwest Territories,Consumer goods,12000.0,0.0,12000.0
United States,2014-01-01,2014,Northwest Territories,Electronics related parts,13000.0,0.0,13000.0
United States,2014-01-01,2014,Northwest Territories,Energy products,0.0,0.0,0.0
United States,2014-01-01,2014,Northwest Territories,Farm and fishing products,0.0,0.0,0.0
United States,2014-01-01,2014,Northwest Territories,Forestry products,0.0,0.0,0.0
United States,2014-01-01,2014,Northwest Territories,Industrial machinery parts,75000.0,0.0,75000.0
United States,2014-01-01,2014,Northwest Territories,Metal products,0.0,0.0,0.0
United States,2014-01-01,2014,Northwest Territories,Metal ores,0.0,0.0,0.0
United States,2014-01-01,2014,Northwest Territories,Motor vehicles and parts,0.0,0.0,0.0
United States,2014-01-01,2014,Northwest Territories,Special transactions trade,3000.0,0.0,3000.0
United States,2014-01-01,2014,Nova Scotia,Aircraft and transportation,4276000.0,2289000.0,1987000.0
United States,2014-01-01,2014,Nova Scotia,Basic products,27503000.0,1226000.0,26277000.0
United States,2014-01-01,2014,Nova Scotia,Consumer goods,29891000.0,1236000.0,28655000.0
United States,2014-01-01,2014,Nova Scotia,Electronics related parts,5336000.0,1007000.0,4329000.0
United States,2014-01-01,2014,Nova Scotia,Energy products,209100000.0,124873000.0,84227000.0
United States,2014-01-01,2014,Nova Scotia,Farm and fishing products,41364000.0,301000.0,41063000.0
United States,2014-01-01,2014,Nova Scotia,Forestry products,31595000.0,429000.0,31166000.0
United States,2014-01-01,2014,Nova Scotia,Industrial machinery parts,6501000.0,2200000.0,4301000.0
United States,2014-01-01,2014,Nova Scotia,Metal products,4981000.0,407000.0,4574000.0
United States,2014-01-01,2014,Nova Scotia,Metal ores,2447000.0,0.0,2447000.0
United States,2014-01-01,2014,Nova Scotia,Motor vehicles and parts,76749000.0,3000.0,76746000.0
United States,2014-01-01,2014,Nova Scotia,Special transactions trade,3917000.0,447000.0,3470000.0
United States,2014-01-01,2014,Nunavut,Aircraft and transportation,0.0,2974000.0,-2974000.0
United States,2014-01-01,2014,Nunavut,Basic products,0.0,0.0,0.0
United States,2014-01-01,2014,Nunavut,Consumer goods,9000.0,0.0,9000.0
United States,2014-01-01,2014,Nunavut,Electronics related parts,0.0,0.0,0.0
United States,2014-01-01,2014,Nunavut,Energy products,0.0,0.0,0.0
United States,2014-01-01,2014,Nunavut,Farm and fishing products,0.0,0.0,0.0
United States,2014-01-01,2014,Nunavut,Forestry products,0.0,0.0,0.0
United States,2014-01-01,2014,Nunavut,Industrial machinery parts,0.0,0.0,0.0
United States,2014-01-01,2014,Nunavut,Metal products,0.0,0.0,0.0
United States,2014-01-01,2014,Nunavut,Metal ores,0.0,0.0,0.0
United States,2014-01-01,2014,Nunavut,Motor vehicles and parts,5000.0,0.0,5000.0
United States,2014-01-01,2014,Nunavut,Special transactions trade,3000.0,0.0,3000.0
United States,2014-01-01,2014,Ontario,Aircraft and transportation,154694000.0,244098000.0,-89404000.0
United States,2014-01-01,2014,Ontario,Basic products,855877000.0,1119790000.0,-263913000.0
United States,2014-01-01,2014,Ontario,Consumer goods,1396916000.0,2173682000.0,-776766000.0
United States,2014-01-01,2014,Ontario,Electronics related parts,423050000.0,891011000.0,-467961000.0
United States,2014-01-01,2014,Ontario,Energy products,315775000.0,345676000.0,-29901000.0
United States,2014-01-01,2014,Ontario,Farm and fishing products,190771000.0,429665000.0,-238894000.0
United States,2014-01-01,2014,Ontario,Forestry products,528034000.0,705854000.0,-177820000.0
United States,2014-01-01,2014,Ontario,Industrial machinery parts,741983000.0,1127517000.0,-385534000.0
